,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
0,1,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.0
1,1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,
2,2,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1.0
3,2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,
4,3,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2.0
5,3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,
6,4,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,3.0
7,4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,
8,5,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,4.0
9,5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,
10,6,2011-01-01,1,0,1,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,5.0
11,6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,
12,7,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,6.0
13,7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,
14,8,2011-01-01,1,0,1,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,7.0
15,8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,
16,9,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,8.0
17,9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,
18,10,2011-01-01,1,0,1,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,9.0
19,10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,
20,11,2011-01-01,1,0,1,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,10.0
21,11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,
22,12,2011-01-01,1,0,1,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,11.0
23,12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,
24,13,2011-01-01,1,0,1,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,12.0
25,13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,
26,14,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,13.0
27,14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,
28,15,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,14.0
29,15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,
30,16,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,15.0
31,16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,
32,17,2011-01-01,1,0,1,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,16.0
33,17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,
34,18,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,17.0
35,18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,
36,19,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,18.0
37,19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,
38,20,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,19.0
39,20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,
40,21,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,20.0
41,21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,
42,22,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,21.0
43,22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,
44,23,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,22.0
45,23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,
46,24,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,23.0
47,24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,
48,25,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.0
49,25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,
50,26,2011-01-02,1,0,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1.0
